Time(Min)	T(K)	(0 Deg.)M.S.(uV)	(0 Deg.)STD(uV)	(90 Deg.)M.S.(uV)	(90 Deg.)STD(uV)
0.0	89.7	-63.78	0.00	28.02	0.03
4.4	89.6	-63.78	0.00	28.07	0.06
6.0	89.5	-63.78	0.00	28.00	0.04
7.4	89.4	-63.78	0.00	27.96	0.05
9.1	89.3	-63.78	0.00	28.01	0.06
10.6	89.5	-63.78	0.00	27.99	0.06
11.0	89.2	-63.78	0.00	27.99	0.05
12.0	89.2	-63.78	0.00	28.10	0.06
